,BUILDINGID,WattHours,time
358,0091,2843.25,2021-11-07T20:12:01.846957Z
359,0092,2884.75,2021-11-07T20:12:01.846957Z
360,0093,3755.0,2021-11-07T20:12:01.846957Z
361,0094,3698.5,2021-11-07T20:12:01.846957Z
362,0095,3671.25,2021-11-07T20:12:01.846957Z
363,0096,1315.25,2021-11-07T20:12:01.846957Z
364,0097,3752.5,2021-11-07T20:12:01.846957Z
365,0098,2.85875,2021-11-07T20:12:01.846957Z
366,0099,3248.5,2021-11-07T20:12:01.846957Z
367,009a,73096.25,2021-11-07T20:12:01.846957Z
368,0100,2193.5,2021-11-07T20:12:01.846957Z
369,0101,2405.75,2021-11-07T20:12:01.846957Z
370,0102,2156.5,2021-11-07T20:12:01.846957Z
371,0104,2633.0,2021-11-07T20:12:01.846957Z
372,0105,3008.25,2021-11-07T20:12:01.846957Z
373,0106,2507.25,2021-11-07T20:12:01.846957Z
374,0107,3939.5,2021-11-07T20:12:01.846957Z
375,0111,114552.5,2021-11-07T20:12:01.846957Z
376,0113,19659.75,2021-11-07T20:12:01.846957Z
377,0114,10113.75,2021-11-07T20:12:01.846957Z
378,0115,4105.75,2021-11-07T20:12:01.846957Z
379,0117,25914.75,2021-11-07T20:12:01.846957Z
380,0118,21540.0,2021-11-07T20:12:01.846957Z
381,0121,15528.25,2021-11-07T20:12:01.846957Z
382,0123,4148.75,2021-11-07T20:12:01.846957Z
383,0124,42829.75,2021-11-07T20:12:01.846957Z
384,0128,10307.25,2021-11-07T20:12:01.846957Z
385,0130,1325.75,2021-11-07T20:12:01.846957Z
386,0151,9.0395,2021-11-07T20:12:01.846957Z
387,016a,10780.25,2021-11-07T20:12:01.846957Z
388,0194,1451.5,2021-11-07T20:12:01.846957Z
389,0201,35716.25,2021-11-07T20:12:01.846957Z
390,0202,54546.25,2021-11-07T20:12:01.846957Z
391,026a,4042.736,2021-11-07T20:12:01.846957Z
392,109a,2729.0,2021-11-07T20:12:01.846957Z
393,109b,5325.5,2021-11-07T20:12:01.846957Z
394,109c,3767.0,2021-11-07T20:12:01.846957Z
395,109d,1264.5,2021-11-07T20:12:01.846957Z
396,0002,2883.75,2021-11-07T19:57:02.023658Z
397,0005,49345.75,2021-11-07T19:57:02.023658Z
398,0006,52149.0,2021-11-07T19:57:02.023658Z
399,0007,46121.25,2021-11-07T19:57:02.023658Z
400,0008,40714.25,2021-11-07T19:57:02.023658Z
401,0009,19318.5,2021-11-07T19:57:02.023658Z
402,0010,17373.4215,2021-11-07T19:57:02.023658Z
403,0012,7851.75,2021-11-07T19:57:02.023658Z
404,0013,5453.25,2021-11-07T19:57:02.023658Z
405,0014,2603.25,2021-11-07T19:57:02.023658Z
406,0015,199.1285,2021-11-07T19:57:02.023658Z
407,0016,25599.0,2021-11-07T19:57:02.023658Z
408,0017,10.95375,2021-11-07T19:57:02.023658Z
409,0018,755.0,2021-11-07T19:57:02.023658Z
410,0019,52607.75,2021-11-07T19:57:02.023658Z
411,0027,4461.0,2021-11-07T19:57:02.023658Z
412,0029,44306.0,2021-11-07T19:57:02.023658Z
413,0030,24202.0,2021-11-07T19:57:02.023658Z
414,0031,14284.5,2021-11-07T19:57:02.023658Z
415,0032,1343.5,2021-11-07T19:57:02.023658Z
416,0033,7072.25,2021-11-07T19:57:02.023658Z
417,0034,10380.5,2021-11-07T19:57:02.023658Z
418,0035,3702.5,2021-11-07T19:57:02.023658Z
419,0036,4195.25,2021-11-07T19:57:02.023658Z
420,0037,57326.0,2021-11-07T19:57:02.023658Z
421,0038,18408.75,2021-11-07T19:57:02.023658Z
422,0039,19074.12975,2021-11-07T19:57:02.023658Z
423,0040,2436.2,2021-11-07T19:57:02.023658Z
424,0041,215.64275,2021-11-07T19:57:02.023658Z
425,0042,376.23725,2021-11-07T19:57:02.023658Z
426,0047,9812.25,2021-11-07T19:57:02.023658Z
427,0048,4735.0,2021-11-07T19:57:02.023658Z
428,0049,41938.75,2021-11-07T19:57:02.023658Z
429,0051,20683.25,2021-11-07T19:57:02.023658Z
430,0058,0.0,2021-11-07T19:57:02.023658Z
431,0063,63111.5,2021-11-07T19:57:02.023658Z
432,0064,7964.25,2021-11-07T19:57:02.023658Z
433,0065,14149.0,2021-11-07T19:57:02.023658Z
434,0066,8.06925,2021-11-07T19:57:02.023658Z
435,0067,8736.75,2021-11-07T19:57:02.023658Z
436,0068,17073.86125,2021-11-07T19:57:02.023658Z
437,0069,249.1445,2021-11-07T19:57:02.023658Z
438,006a,2573.75,2021-11-07T19:57:02.023658Z
439,0071,2712.0,2021-11-07T19:57:02.023658Z
440,0072,1126.25,2021-11-07T19:57:02.023658Z
441,0073,1238.0,2021-11-07T19:57:02.023658Z
442,0074,1099.25,2021-11-07T19:57:02.023658Z
443,0075,1260.25,2021-11-07T19:57:02.023658Z
444,0076,1109.0,2021-11-07T19:57:02.023658Z
445,0077,870.75,2021-11-07T19:57:02.023658Z
446,0080,5573.75,2021-11-07T19:57:02.023658Z
447,0081,5969.0,2021-11-07T19:57:02.023658Z
448,0083,2940.0,2021-11-07T19:57:02.023658Z
449,0084,2022.25,2021-11-07T19:57:02.023658Z
450,0085,1895.5,2021-11-07T19:57:02.023658Z
451,0086,2476.25,2021-11-07T19:57:02.023658Z
452,0087,9108.0,2021-11-07T19:57:02.023658Z
453,0088,916.25,2021-11-07T19:57:02.023658Z
454,0089,1525.75,2021-11-07T19:57:02.023658Z
455,008b,51311.75,2021-11-07T19:57:02.023658Z
456,0090,1866.5,2021-11-07T19:57:02.023658Z
457,0091,2876.25,2021-11-07T19:57:02.023658Z
458,0092,2343.0,2021-11-07T19:57:02.023658Z
459,0093,2892.25,2021-11-07T19:57:02.023658Z
460,0094,4035.25,2021-11-07T19:57:02.023658Z
461,0095,3409.5,2021-11-07T19:57:02.023658Z
462,0096,1359.0,2021-11-07T19:57:02.023658Z
463,0097,3990.75,2021-11-07T19:57:02.023658Z
464,0098,3.92575,2021-11-07T19:57:02.023658Z
465,0099,3270.5,2021-11-07T19:57:02.023658Z
466,009a,73422.0,2021-11-07T19:57:02.023658Z
467,0100,1692.75,2021-11-07T19:57:02.023658Z
468,0101,2423.0,2021-11-07T19:57:02.023658Z
469,0102,2107.0,2021-11-07T19:57:02.023658Z
470,0104,3506.75,2021-11-07T19:57:02.023658Z
471,0105,2571.0,2021-11-07T19:57:02.023658Z
472,0106,2432.0,2021-11-07T19:57:02.023658Z
473,0107,4078.5,2021-11-07T19:57:02.023658Z
474,0111,115289.0,2021-11-07T19:57:02.023658Z
475,0113,21254.5,2021-11-07T19:57:02.023658Z
476,0114,10056.75,2021-11-07T19:57:02.023658Z
477,0115,4077.0,2021-11-07T19:57:02.023658Z
478,0117,24289.25,2021-11-07T19:57:02.023658Z
479,0118,22841.5,2021-11-07T19:57:02.023658Z
480,0121,14144.5,2021-11-07T19:57:02.023658Z
481,0123,4600.25,2021-11-07T19:57:02.023658Z
482,0124,42495.25,2021-11-07T19:57:02.023658Z
483,0128,10264.25,2021-11-07T19:57:02.023658Z
484,0130,1205.5,2021-11-07T19:57:02.023658Z
485,0151,7.577,2021-11-07T19:57:02.023658Z
486,016a,10990.5,2021-11-07T19:57:02.023658Z
487,0194,1475.5,2021-11-07T19:57:02.023658Z
488,0201,37349.5,2021-11-07T19:57:02.023658Z
489,0202,50083.25,2021-11-07T19:57:02.023658Z
490,026a,4882.769,2021-11-07T19:57:02.023658Z
491,109a,2883.25,2021-11-07T19:57:02.023658Z
492,109b,4774.75,2021-11-07T19:57:02.023658Z
493,109c,3953.5,2021-11-07T19:57:02.023658Z
494,109d,1458.0,2021-11-07T19:57:02.023658Z
495,0002,2732.25,2021-11-07T19:42:01.576538Z
496,0005,48571.25,2021-11-07T19:42:01.576538Z
